epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.55998,2.05194,3.57104,1.65333,0.05835,0.47365,0.06195,0.02485,1.43101,3.51306,1.31387,8.335e-05,8.335e-05,8.335e-05
2,15.5785,1.66278,3.39891,1.44665,0.06913,0.56127,0.07381,0.03275,1.27268,3.49311,1.23207,0.000179739,0.000179739,0.000179739
3,24.1162,1.46424,3.06626,1.36947,0.07754,0.6587,0.08473,0.03983,1.15977,3.42905,1.15004,0.000272168,0.000272168,0.000272168
4,32.5138,1.24119,2.74808,1.20134,0.08153,0.73591,0.09425,0.04587,1.12039,3.26126,1.07673,0.000360635,0.000360635,0.000360635
5,40.922,1.21591,2.5138,1.19293,0.0805,0.72181,0.14247,0.07639,1.03892,3.1305,1.03161,0.000445142,0.000445142,0.000445142
6,49.7429,1.17925,2.51733,1.15749,0.08396,0.78983,0.29001,0.15929,1.04743,2.94849,1.02384,0.000525688,0.000525688,0.000525688
7,58.0581,1.15088,2.30487,1.08758,0.94648,0.16176,0.37265,0.2115,1.08295,2.72746,1.06415,0.000602274,0.000602274,0.000602274
8,66.5364,1.25623,1.99513,1.13491,0.94648,0.16176,0.37265,0.2115,1.08295,2.72746,1.06415,0.000674898,0.000674898,0.000674898
9,75.0377,1.12616,1.93119,1.08234,0.9312,0.29957,0.41847,0.22846,1.11955,2.43314,1.08879,0.000743562,0.000743562,0.000743562
10,83.7161,1.13548,1.89131,1.0715,0.88336,0.37458,0.4505,0.26946,1.10341,2.13631,1.08069,0.000808265,0.000808265,0.000808265
11,92.4063,1.2303,1.75819,1.12543,0.88336,0.37458,0.4505,0.26946,1.10341,2.13631,1.08069,0.000869007,0.000869007,0.000869007
12,100.872,0.99869,1.74823,1.02184,0.38533,0.34191,0.43766,0.276,1.1056,1.94696,1.08068,0.000925788,0.000925788,0.000925788
13,109.044,1.09759,1.69263,1.07339,0.38533,0.34191,0.43766,0.276,1.1056,1.94696,1.08068,0.000978609,0.000978609,0.000978609
14,117.37,1.14623,1.57909,1.08552,0.38533,0.34191,0.43766,0.276,1.1056,1.94696,1.08068,0.00102747,0.00102747,0.00102747
15,125.506,0.96968,1.73082,1.01578,0.88992,0.32556,0.43221,0.28637,1.07643,1.80593,1.07073,0.00107237,0.00107237,0.00107237
16,133.896,1.18616,1.49803,1.11876,0.88992,0.32556,0.43221,0.28637,1.07643,1.80593,1.07073,0.00111331,0.00111331,0.00111331
17,142.373,0.94238,1.45948,1.03599,0.38726,0.72168,0.53112,0.36596,1.08447,1.54405,1.087,0.00113889,0.00113889,0.00113889
18,151.21,1.10518,1.41725,1.16485,0.38726,0.72168,0.53112,0.36596,1.08447,1.54405,1.087,0.00110589,0.00110589,0.00110589
19,159.544,1.05403,1.26105,1.05169,0.38726,0.72168,0.53112,0.36596,1.08447,1.54405,1.087,0.00107288,0.00107288,0.00107288
20,167.867,1.02397,1.3464,1.08481,0.72113,0.7402,0.70017,0.5092,0.99455,1.33072,1.07805,0.00103987,0.00103987,0.00103987
21,176.458,0.94371,1.28288,1.04603,0.72113,0.7402,0.70017,0.5092,0.99455,1.33072,1.07805,0.00100687,0.00100687,0.00100687
22,185.011,1.03193,2.63361,1.15865,0.72113,0.7402,0.70017,0.5092,0.99455,1.33072,1.07805,0.000973861,0.000973861,0.000973861
23,193.303,0.90485,1.20655,1.04503,0.66683,0.70833,0.74197,0.53941,0.95579,1.34469,1.07382,0.000940855,0.000940855,0.000940855
24,201.598,0.90243,1.29185,1.06523,0.66683,0.70833,0.74197,0.53941,0.95579,1.34469,1.07382,0.000907848,0.000907848,0.000907848
25,210.769,1.06432,1.31091,1.06798,0.60454,0.76654,0.78447,0.61034,0.89771,1.28462,1.05865,0.000874842,0.000874842,0.000874842
26,221.753,0.87055,1.16853,1.03267,0.60454,0.76654,0.78447,0.61034,0.89771,1.28462,1.05865,0.000841835,0.000841835,0.000841835
27,231.823,0.83768,1.19539,1.01169,0.60454,0.76654,0.78447,0.61034,0.89771,1.28462,1.05865,0.000808828,0.000808828,0.000808828
28,241.332,0.92597,1.20643,1.05807,0.79406,0.76884,0.85015,0.65366,0.92771,1.06323,1.07497,0.000775822,0.000775822,0.000775822
29,250.418,0.84198,1.00875,1.03942,0.79406,0.76884,0.85015,0.65366,0.92771,1.06323,1.07497,0.000742815,0.000742815,0.000742815
30,262.169,0.83474,1.08042,1.04851,0.79406,0.76884,0.85015,0.65366,0.92771,1.06323,1.07497,0.000709809,0.000709809,0.000709809
31,272.317,0.83727,0.99602,1.01418,0.84346,0.82706,0.87415,0.6616,0.91927,0.95747,1.05286,0.000676802,0.000676802,0.000676802
